,full_name,used_name,kraj,kraj_skrot,wzrost,waga,plec,data_urodz,zdj,kolor_odl,kolor_hex,kolor_rgb
793,Giacomo Carlini,Giacomo Carlini,Italy,ITA,186,77,Male,1904-08-02,http://d2a3o6pzho379u.cloudfront.net/71902.jpg,302.88,#d12e29,"[208, 45, 41]"
794,"Alfred Joseph ""Alf"" Watson",Alf Watson,Australia,AUS,None,None,Male,1907-05-26,http://d2a3o6pzho379u.cloudfront.net/64823.jpg,nie wykryto nosa,nie wykryto nosa,nie wykryto nosa
795,Lothar Albrich,Lothar Albrich,Romania,ROU,None,None,Male,1905-08-20,None,brak zdj,brak zdj,brak zdj
796,Arie Jan Kaan,Arie Kaan,Netherlands,NED,None,None,Male,1901-12-22,http://d2a3o6pzho379u.cloudfront.net/73849.jpg,nie wykryto nosa,nie wykryto nosa,nie wykryto nosa
797,Wilfred George Kalaugher,Wilfred Kalaugher,New Zealand,NZL,None,None,Male,1904-11-26,http://d2a3o6pzho379u.cloudfront.net/74317.jpg,271.28,#944f4f,"[147, 78, 78]"
798,Douglas Mortimer Lewes Neame,Douglas Neame,Great Britain,GBR,None,None,Male,1901-10-09,http://d2a3o6pzho379u.cloudfront.net/69338.jpg,247.4,#b65858,"[181, 87, 87]"
799,Arie van Leeuwen,Arie van Leeuwen,Netherlands,NED,None,None,Male,1910-02-03,http://d2a3o6pzho379u.cloudfront.net/73899.jpg,nie wykryto twarzy,nie wykryto twarzy,nie wykryto twarzy
800,Jan Gerard Britstra,Jan Britstra,Netherlands,NED,None,None,Male,1905-04-10,http://d2a3o6pzho379u.cloudfront.net/73790.jpg,nie wykryto twarzy,nie wykryto twarzy,nie wykryto twarzy
801,"Evangelos ""Vangelis"" Moiropoulos",Vangelis Moiropoulos,Greece,GRE,183,None,Male,1905-03-25,None,brak zdj,brak zdj,brak zdj
802,S. Abdul Hamid,S. Abdul Hamid,India,IND,None,None,Male,1907-01-01,http://d2a3o6pzho379u.cloudfront.net/71386.jpg,226.41,#c46a5f,"[196, 105, 95]"
803,Arnold Otto Schöpp,Otto Schöpp,Romania,ROU,None,None,Male,1907-06-04,None,brak zdj,brak zdj,brak zdj
804,José António Veloso Palhares Costa,José Palhares Costa,Portugal,POR,None,None,Male,1908-02-22,http://d2a3o6pzho379u.cloudfront.net/74930.jpg,280.42,#d03b3b,"[208, 59, 59]"
805,Wojciech Trojanowski,Wojciech Trojanowski,Poland,POL,186,76,Male,1904-09-25,http://d2a3o6pzho379u.cloudfront.net/74864.jpg,201.0,#c07878,"[192, 119, 119]"
806,Valerio Ángel Vallanía,Valerio Vallanía,Argentina,ARG,178,68,Male,1906-07-14,http://d2a3o6pzho379u.cloudfront.net/64465.jpg,266.38,#af4b4b,"[175, 75, 75]"
807,Christen Erling Seeberg,Erling Seeberg,Norway,NOR,None,None,Male,1908-10-20,None,brak zdj,brak zdj,brak zdj
808,Conrad Florenæs Hauge,Conrad Hauge,Norway,NOR,None,None,Male,1903-08-24,None,brak zdj,brak zdj,brak zdj
809,Aarne Jounela,Aarne Jounela,Finland,FIN,None,None,Male,1901-03-03,None,brak zdj,brak zdj,brak zdj
810,Erkki Viljo Järvinen,Erkki Järvinen,Finland,FIN,179,70,Male,1904-10-15,None,brak zdj,brak zdj,brak zdj
811,Roger Germain Jean Viel,Roger Viel,France,FRA,None,None,Male,1902-10-27,http://d2a3o6pzho379u.cloudfront.net/68550.jpg,277.05,#b2493d,"[178, 72, 60]"
812,Alfred (-Ago) Rosenberg (-Rooseste),Alfred Rosenberg,Estonia,EST,None,None,Male,1900-01-06,None,brak zdj,brak zdj,brak zdj
813,Branko Kallay,Branko Kallay,Yugoslavia,YUG,177,80,Male,1908-12-30,http://d2a3o6pzho379u.cloudfront.net/79414.jpg,251.17,#8d6161,"[140, 96, 96]"
814,Herman Albert Larsen,Herman Larsen,Denmark,DEN,None,None,Male,1899-07-18,None,brak zdj,brak zdj,brak zdj
815,"James Francis ""Jimmy"" Quinn",Jimmy Quinn,United States,USA,175,66,Male,1906-09-11,http://d2a3o6pzho379u.cloudfront.net/78925.jpg,238.76,#d26251,"[209, 97, 81]"
816,Helmut Günter Hermann Schlöske,Helmut Schlöske,Germany,GER,182,71,Male,1904-06-27,None,brak zdj,brak zdj,brak zdj
817,"Edward Ralph ""Teddy"" Smouha",Teddy Smouha,Great Britain,GBR,None,None,Male,1909-12-17,None,brak zdj,brak zdj,brak zdj
818,Richard Alexander Robb,Richard Robb,Great Britain,GBR,None,None,Male,1901-09-07,None,brak zdj,brak zdj,brak zdj
819,Alfred Fischer,Alfred Fischer,France,FRA,None,None,Male,1904-01-01,None,brak zdj,brak zdj,brak zdj
820,Alfred Sutter,Alfred Sutter,Switzerland,SUI,None,None,Male,1906-05-20,None,brak zdj,brak zdj,brak zdj
821,Leigh Borden Miller,Leigh Miller,Canada,CAN,None,None,Male,1905-08-17,None,brak zdj,brak zdj,brak zdj
822,Harry Verney Warren,Harry Warren,Canada,CAN,None,None,Male,1904-08-27,None,brak zdj,brak zdj,brak zdj
823,Émile Vercken,Émile Vercken,Belgium,BEL,None,None,Male,1903-02-22,http://d2a3o6pzho379u.cloudfront.net/65323.jpg,nie wykryto twarzy,nie wykryto twarzy,nie wykryto twarzy
824,Seishichi Inuma,Seishichi Inuma,Japan,JPN,None,None,Male,1907-07-27,http://d2a3o6pzho379u.cloudfront.net/111085.jpg,nie wykryto twarzy,nie wykryto twarzy,nie wykryto twarzy
825,Shigetoshi Osawa,Shigetoshi Osawa,Japan,JPN,None,None,Male,1905-01-02,None,brak zdj,brak zdj,brak zdj
